,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,total
POGAČAR Tadej,0,22,0,28,29,2,35,7,7,2,0,35,35,26,7,17,10,29,24,10,10,335
VINGEGAARD Jonas,0,14,0,14,0,1,19,0,0,1,0,19,19,14,0,5,0,14,19,0,0,139
MILAN Jonathan,0,0,22,3,0,3,0,28,22,3,3,3,3,3,3,3,28,3,3,3,0,136
VAN DER POEL Mathieu,0,32,7,26,0,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,89
HEALY Ben,0,0,0,0,0,25,0,0,0,21,7,0,0,4,0,19,0,0,3,0,0,79
ARENSMAN Thymen,0,0,0,0,0,0,0,0,0,19,0,0,0,25,0,0,0,0,25,0,0,69
ONLEY Oscar,0,5,0,10,0,0,14,0,0,0,0,7,4,5,0,0,0,10,7,0,0,62
VAN AERT Wout,0,0,0,0,0,0,0,19,0,0,7,0,0,0,10,0,0,0,0,0,25,61
MERLIER Tim,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,50
LIPOWITZ Florian,0,0,0,0,5,0,0,0,0,0,0,14,10,7,0,1,0,0,10,0,0,47
DE LIE Arnaud,0,0,0,0,0,0,0,7,14,0,10,0,0,0,0,0,10,0,0,0,4,45
GROVES Kaden,0,0,4,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,25,0,44
WELLENS Tim,0,0,3,0,0,3,3,3,3,0,0,0,0,0,25,0,0,0,0,3,0,43
EVENEPOEL Remco,0,0,0,4,28,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,41
PHILIPSEN Jasper,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
O'CONNOR Ben,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,25,0,0,0,35
GALL Felix,0,0,0,0,0,0,10,0,0,0,0,3,1,10,0,0,0,5,5,0,0,34
YATES Simon,0,0,0,0,0,7,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,33
GIRMAY Biniam,19,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,29
PARET-PEINTRE Valentin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2,0,0,27
BALLERINI Davide,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,19,27
JORGENSON Matteo,3,0,0,3,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,2,7,27
ROGLIČ Primož,0,0,0,0,0,0,0,0,0,0,0,2,14,3,0,2,0,4,0,0,0,25
ABRAHAMSEN Jonas,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25
WÆRENSKJOLD Søren,14,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
VAUQUELIN Kévin,0,3,0,1,7,0,4,0,0,0,0,5,0,1,0,0,0,0,0,0,3,24
GRÉGOIRE Romain,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,24
ALAPHILIPPE Julian,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,24
MEEUS Jordi,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,22
SIMMONS Quinn,0,0,0,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21
STORER Michael,0,0,0,0,0,14,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,21
JOHANNESSEN Tobias Halland,0,0,0,0,0,0,1,0,0,0,0,10,0,2,0,0,0,2,4,0,0,19
SCHMID Mauro,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19
CAMPENAERTS Victor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,19
ANDRESEN Tobias Lund,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,0,0,0,0,19
VAN DEN BROEK Frank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19
BAUHAUS Phil,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18
BITTNER Pavel,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,17
MARTINEZ Lenny,0,0,0,0,0,0,0,0,0,6,3,0,2,3,3,0,0,0,0,0,0,17
PENHOËT Paul,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,15
EENKHOORN Pascal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
LAURANCE Axel,0,0,0,0,0,0,2,0,0,0,5,0,0,0,7,0,0,0,0,0,0,14
BUITRAGO Santiago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14
AFFINI Edoardo,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
MOHORIČ Matej,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
ACKERMANN Pascal,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13
VELASCO Simone,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
TRENTIN Matteo,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
TURGIS Anthony,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
VAN WILDER Ilan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
DUNBAR Eddie,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
ARMIRAIL Bruno,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
PLAPP Luke,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9
DAINESE Alberto,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,9
ALMEIDA João,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
RUBIO Einer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
RUSSO Clément,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7
JEGAT Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,7
YATES Adam,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6
STUYVEN Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5
VLASOV Aleksandr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
BARTA Will,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
STEWART Jake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
BLACKMORE Joseph,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
TEJADA Harold,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
WRIGHT Fred,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
PARET-PEINTRE Aurélien,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
MAS Enric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
JOHANNESSEN Anders Halland,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
ROMEO Iván,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
COQUARD Bryan,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
THOMAS Benjamin,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
BURGAUDEAU Mathieu,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
NARVÁEZ Jhonatan,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FREDHEIM Stian,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
FEDOROV Yevgeniy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SKJELMOSE Mattias,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CAPIOT Amaury,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TEUNISSEN Mike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
VALGREN Michael,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
ALBANESE Vincenzo,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MAYRHOFER Marius,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
WATSON Samuel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SWEENY Harry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
KUSS Sepp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BERCKMOES Jenno,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TEUNS Dylan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CASTRILLO Pablo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RODRÍGUEZ Cristián,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MADOUAS Valentin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SIVAKOV Pavel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN LERBERGHE Bert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAUDIN Alex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGREEN Kasper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAET Vito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POWLESS Neilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN DEN BERG Marijn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARRÉ Louis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAGE Hugo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLITT Nils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYS Thibau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONSONNI Simone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN DIJKE Mick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN POPPEL Danny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PITHIE Laurence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RODRÍGUEZ Carlos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWIFT Connor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
