,1,2,3,4,5,6,7,8,9,10,11,total
ASGREEN Kasper,0,0,0,0,0,0,0,0,0,0,0,0
SCHACHMANN Maximilian,0,0,0,0,0,0,0,0,0,0,0,0
BAUDIN Alex,0,0,0,0,0,0,0,0,0,0,0,0
POWLESS Neilson,0,0,0,0,0,0,0,0,0,0,0,0
VALGREN Michael,0,0,0,0,0,0,0,0,0,0,0,0
SWEENY Harry,0,0,0,0,0,0,0,0,0,0,0,0
VAN DEN BERG Marijn,0,0,0,0,0,0,0,0,0,0,0,0
BARRÉ Louis,0,0,0,0,0,0,0,0,0,0,0,0
BRAET Vito,0,0,0,0,0,0,0,0,0,0,0,0
PAGE Hugo,0,0,0,0,0,0,0,0,0,0,0,0
YATES Adam,0,0,0,0,0,0,0,0,0,0,0,0
SOLER Marc,0,0,0,0,0,0,0,0,0,0,0,0
BENOOT Tiesj,0,0,0,0,0,0,0,0,0,0,0,0
SIVAKOV Pavel,0,0,0,0,0,0,0,0,0,0,0,0
CAMPENAERTS Victor,0,0,0,0,0,0,0,0,0,0,0,0
KUSS Sepp,0,0,0,0,0,0,0,0,0,0,0,0
CATTANEO Mattia,0,0,0,0,0,0,0,0,0,0,0,0
EENKHOORN Pascal,0,0,0,0,0,0,0,0,0,0,0,0
PARET-PEINTRE Valentin,0,0,0,0,0,0,0,0,0,0,0,0
VAN WILDER Ilan,0,0,0,0,0,0,0,0,0,0,0,0
VAN LERBERGHE Bert,0,0,0,0,0,0,0,0,0,0,0,0
ASKEY Lewis,0,0,0,0,0,0,0,0,0,0,0,0
DÉMARE Arnaud,0,0,0,0,0,0,0,0,0,0,0,0
COSTIOU Ewen,0,0,0,0,0,0,0,0,0,0,0,0
MARTIN Guillaume,0,0,0,0,0,0,0,0,0,0,0,0
GARCÍA PIERNA Raúl,0,0,0,0,0,0,0,0,0,0,0,0
GROENEWEGEN Dylan,0,0,0,0,0,0,0,0,0,0,0,0
DURBRIDGE Luke,0,0,0,0,0,0,0,0,0,0,0,0
LIENHARD Fabian,0,0,0,0,0,0,0,0,0,0,0,0
RICKAERT Jonas,0,0,0,0,0,0,0,0,0,0,0,0
VERSTRYNGE Emiel,0,0,0,0,0,0,0,0,0,0,0,0
VERMEERSCH Gianni,0,0,0,0,0,0,0,0,0,0,0,0
HALLER Marco,0,0,0,0,0,0,0,0,0,0,0,0
HIRSCHI Marc,0,0,0,0,0,0,0,0,0,0,0,0
BARTHE Cyril,0,0,0,0,0,0,0,0,0,0,0,0
MEURISSE Xandro,0,0,0,0,0,0,0,0,0,0,0,0
PACHER Quentin,0,0,0,0,0,0,0,0,0,0,0,0
MADOUAS Valentin,0,0,0,0,0,0,0,0,0,0,0,0
THEUNS Edward,0,0,0,0,0,0,0,0,0,0,0,0
DILLIER Silvan,0,0,0,0,0,0,0,0,0,0,0,0
