,1,2,3,4,5,6,total
POGAČAR Tadej,10,7,0,32,7,7,63
GIRMAY Biniam,0,0,25,0,5,22,52
ABRAHAMSEN Jonas,3,25,6,6,3,3,46
GAVIRIA Fernando,0,0,19,0,0,14,33
BARDET Romain,32,0,0,0,0,0,32
GROENEWEGEN Dylan,0,0,7,0,0,25,32
DE LIE Arnaud,0,0,14,0,10,7,31
CAVENDISH Mark,0,0,0,0,25,0,25
VAUQUELIN Kévin,0,25,0,0,0,0,25
VAN DEN BROEK Frank,22,0,0,0,0,0,22
EVENEPOEL Remco,3,0,0,19,0,0,22
VAN AERT Wout,14,0,0,0,0,5,19
PHILIPSEN Jasper,0,0,0,0,19,0,19
KRISTOFF Alexander,0,0,0,0,14,3,17
BAUHAUS Phil,0,0,5,0,0,10,15
PEDERSEN Mads,4,0,10,0,0,0,14
AYUSO Juan,0,0,0,14,0,0,14
PACHER Quentin,0,14,0,0,0,0,14
JAKOBSEN Fabio,0,0,4,0,7,0,11
ROGLIČ Primož,0,0,0,10,0,0,10
RODRÍGUEZ Cristián,0,10,0,0,0,0,10
DÉMARE Arnaud,0,0,0,0,4,4,8
CARAPAZ Richard,0,1,7,0,0,0,8
VINGEGAARD Jonas,0,0,0,7,0,0,7
TEJADA Harold,0,7,0,0,0,0,7
ACKERMANN Pascal,0,0,0,0,5,2,7
VAN GILS Maxim,7,0,0,0,0,0,7
RODRÍGUEZ Carlos,0,0,0,5,0,0,5
ARANBURU Alex,5,0,0,0,0,0,5
OLIVEIRA Nelson,0,5,0,0,0,0,5
LAURANCE Axel,0,4,0,0,0,0,4
LANDA Mikel,0,0,0,4,0,0,4
TEUNISSEN Mike,0,3,0,0,0,0,3
THIJSSEN Gerben,0,0,0,0,3,0,3
ALMEIDA João,0,0,0,3,0,0,3
BALLERINI Davide,0,0,3,0,0,0,3
CICCONE Giulio,0,0,0,2,0,0,2
BENNETT Sam,0,0,2,0,0,0,2
HOULE Hugo,0,2,0,0,0,0,2
BILBAO Pello,2,0,0,0,0,0,2
ALLEGAERT Piet,0,0,0,0,0,1,1
VAN DEN BERG Marijn,0,0,0,0,1,0,1
BETTIOL Alberto,1,0,0,0,0,0,1
COQUARD Bryan,0,0,1,0,0,0,1
BUITRAGO Santiago,0,0,0,1,0,0,1
CASTROVIEJO Jonathan,0,0,0,0,0,0,0
DE PLUS Laurens,0,0,0,0,0,0,0
SIVAKOV Pavel,0,0,0,0,0,0,0
YATES Adam,0,0,0,0,0,0,0
YATES Simon,0,0,0,0,0,0,0
DURBRIDGE Luke,0,0,0,0,0,0,0
SOLER Marc,0,0,0,0,0,0,0
POLITT Nils,0,0,0,0,0,0,0
LAPORTE Christophe,0,0,0,0,0,0,0
WELLENS Tim,0,0,0,0,0,0,0
KELDERMAN Wilco,0,0,0,0,0,0,0
TRATNIK Jan,0,0,0,0,0,0,0
LEMMEN Bart,0,0,0,0,0,0,0
BENOOT Tiesj,0,0,0,0,0,0,0
JORGENSON Matteo,0,0,0,0,0,0,0
LAMPAERT Yves,0,0,0,0,0,0,0
HIRT Jan,0,0,0,0,0,0,0
POELS Wout,0,0,0,0,0,0,0
WRIGHT Fred,0,0,0,0,0,0,0
MOHORIČ Matej,0,0,0,0,0,0,0
HAIG Jack,0,0,0,0,0,0,0
NAESEN Oliver,0,0,0,0,0,0,0
ARNDT Nikias,0,0,0,0,0,0,0
LAPEIRA Paul,0,0,0,0,0,0,0
PRODHOMME Nicolas,0,0,0,0,0,0,0
PETERS Nans,0,0,0,0,0,0,0
SKUJIŅŠ Toms,0,0,0,0,0,0,0
VERONA Carlos,0,0,0,0,0,0,0
GALL Felix,0,0,0,0,0,0,0
ARMIRAIL Bruno,0,0,0,0,0,0,0
GODON Dorian,0,0,0,0,0,0,0
PIDCOCK Thomas,0,0,0,0,0,0,0
THOMAS Geraint,0,0,0,0,0,0,0
BERNARD Julien,0,0,0,0,0,0,0
TURNER Ben,0,0,0,0,0,0,0
KWIATKOWSKI Michał,0,0,0,0,0,0,0
STUYVEN Jasper,0,0,0,0,0,0,0
DECLERCQ Tim,0,0,0,0,0,0,0
GIBBONS Ryan,0,0,0,0,0,0,0
HARPER Chris,0,0,0,0,0,0,0
JUUL-JENSEN Christopher,0,0,0,0,0,0,0
MEZGEC Luka,0,0,0,0,0,0,0
MATTHEWS Michael,0,0,0,0,0,0,0
REINDERS Elmar,0,0,0,0,0,0,0
BERNAL Egan,0,0,0,0,0,0,0
KÜNG Stefan,0,0,0,0,0,0,0
VAN WILDER Ilan,0,0,0,0,0,0,0
COSTA Rui,0,0,0,0,0,0,0
BISSEGGER Stefan,0,0,0,0,0,0,0
RICKAERT Jonas,0,0,0,0,0,0,0
VERMEERSCH Gianni,0,0,0,0,0,0,0
VAN DER POEL Mathieu,0,0,0,0,0,0,0
DILLIER Silvan,0,0,0,0,0,0,0
GHYS Robbe,0,0,0,0,0,0,0
KRAGH ANDERSEN Søren,0,0,0,0,0,0,0
RUSSO Clément,0,0,0,0,0,0,0
DRIZNERS Jarrad,0,0,0,0,0,0,0
VANHOUCKE Harm,0,0,0,0,0,0,0
CAMPENAERTS Victor,0,0,0,0,0,0,0
QUINN Sean,0,0,0,0,0,0,0
BEULLENS Cedric,0,0,0,0,0,0,0
POWLESS Neilson,0,0,0,0,0,0,0
HEALY Ben,0,0,0,0,0,0,0
FUGLSANG Jakob,0,0,0,0,0,0,0
GRÉGOIRE Romain,0,0,0,0,0,0,0
GENIETS Kevin,0,0,0,0,0,0,0
GAUDU David,0,0,0,0,0,0,0
VLASOV Aleksandr,0,0,0,0,0,0,0
MADOUAS Valentin,0,0,0,0,0,0,0
MARTINEZ Lenny,0,0,0,0,0,0,0
MOSCON Gianni,0,0,0,0,0,0,0
JUNGELS Bob,0,0,0,0,0,0,0
SOBRERO Matteo,0,0,0,0,0,0,0
VAN POPPEL Danny,0,0,0,0,0,0,0
PEDERSEN Casper,0,0,0,0,0,0,0
VERVAEKE Louis,0,0,0,0,0,0,0
DENZ Nico,0,0,0,0,0,0,0
HALLER Marco,0,0,0,0,0,0,0
HINDLEY Jai,0,0,0,0,0,0,0
FORMOLO Davide,0,0,0,0,0,0,0
MAS Enric,0,0,0,0,0,0,0
RENARD Alexis,0,0,0,0,0,0,0
ZINGLE Axel,0,0,0,0,0,0,0
IZAGIRRE Ion,0,0,0,0,0,0,0
HERRADA Jesús,0,0,0,0,0,0,0
MARTIN Guillaume,0,0,0,0,0,0,0
GESCHKE Simon,0,0,0,0,0,0,0
GEE-WEST Derek,0,0,0,0,0,0,0
STEWART Jake,0,0,0,0,0,0,0
NEILANDS Krists,0,0,0,0,0,0,0
GRIGNARD Sébastien,0,0,0,0,0,0,0
VAN MOER Brent,0,0,0,0,0,0,0
WILLIAMS Stephen,0,0,0,0,0,0,0
BOIVIN Guillaume,0,0,0,0,0,0,0
CHAMPOUSSIN Clément,0,0,0,0,0,0,0
PAGE Hugo,0,0,0,0,0,0,0
GOOSSENS Kobe,0,0,0,0,0,0,0
MEINTJES Louis,0,0,0,0,0,0,0
MOZZATO Luca,0,0,0,0,0,0,0
GARCÍA PIERNA Raúl,0,0,0,0,0,0,0
MCLAY Daniel,0,0,0,0,0,0,0
CAPIOT Amaury,0,0,0,0,0,0,0
