,1,total
BARDET Romain,32,32
VAN DEN BROEK Frank,22,22
VAN AERT Wout,14,14
POGAČAR Tadej,10,10
VAN GILS Maxim,7,7
ARANBURU Alex,5,5
PEDERSEN Mads,4,4
ABRAHAMSEN Jonas,3,3
EVENEPOEL Remco,3,3
BILBAO Pello,2,2
BETTIOL Alberto,1,1
KELDERMAN Wilco,0,0
SIVAKOV Pavel,0,0
SOLER Marc,0,0
WELLENS Tim,0,0
YATES Adam,0,0
YATES Simon,0,0
DURBRIDGE Luke,0,0
GROENEWEGEN Dylan,0,0
HARPER Chris,0,0
JUUL-JENSEN Christopher,0,0
MATTHEWS Michael,0,0
LEMMEN Bart,0,0
LAPORTE Christophe,0,0
TRATNIK Jan,0,0
JORGENSON Matteo,0,0
VINGEGAARD Jonas,0,0
BENOOT Tiesj,0,0
DE PLUS Laurens,0,0
CASTROVIEJO Jonathan,0,0
BERNAL Egan,0,0
KWIATKOWSKI Michał,0,0
CICCONE Giulio,0,0
BERNARD Julien,0,0
THOMAS Geraint,0,0
PIDCOCK Thomas,0,0
GIBBONS Ryan,0,0
SKUJIŅŠ Toms,0,0
STUYVEN Jasper,0,0
VERONA Carlos,0,0
GALL Felix,0,0
ARMIRAIL Bruno,0,0
DECLERCQ Tim,0,0
TURNER Ben,0,0
GODON Dorian,0,0
BENNETT Sam,0,0
PETERS Nans,0,0
LAPEIRA Paul,0,0
PRODHOMME Nicolas,0,0
ARNDT Nikias,0,0
BAUHAUS Phil,0,0
NAESEN Oliver,0,0
BUITRAGO Santiago,0,0
HAIG Jack,0,0
MEZGEC Luka,0,0
REINDERS Elmar,0,0
RODRÍGUEZ Carlos,0,0
ALMEIDA João,0,0
AYUSO Juan,0,0
POLITT Nils,0,0
LANDA Mikel,0,0
LAMPAERT Yves,0,0
HIRT Jan,0,0
WRIGHT Fred,0,0
MOHORIČ Matej,0,0
POELS Wout,0,0
ROGLIČ Primož,0,0
MOSCON Gianni,0,0
JUNGELS Bob,0,0
SOBRERO Matteo,0,0
VAN POPPEL Danny,0,0
VLASOV Aleksandr,0,0
GAUDU David,0,0
DENZ Nico,0,0
VAN WILDER Ilan,0,0
PEDERSEN Casper,0,0
KÜNG Stefan,0,0
MADOUAS Valentin,0,0
PACHER Quentin,0,0
MARTINEZ Lenny,0,0
VAN DER POEL Mathieu,0,0
DILLIER Silvan,0,0
GHYS Robbe,0,0
RUSSO Clément,0,0
KRAGH ANDERSEN Søren,0,0
LAURANCE Axel,0,0
RICKAERT Jonas,0,0
PHILIPSEN Jasper,0,0
VERMEERSCH Gianni,0,0
GENIETS Kevin,0,0
HALLER Marco,0,0
VERVAEKE Louis,0,0
COSTA Rui,0,0
BISSEGGER Stefan,0,0
QUINN Sean,0,0
HEALY Ben,0,0
DE LIE Arnaud,0,0
BEULLENS Cedric,0,0
CAMPENAERTS Victor,0,0
POWLESS Neilson,0,0
DRIZNERS Jarrad,0,0
GRIGNARD Sébastien,0,0
VANHOUCKE Harm,0,0
VAN MOER Brent,0,0
WILLIAMS Stephen,0,0
ACKERMANN Pascal,0,0
BOIVIN Guillaume,0,0
VAN DEN BERG Marijn,0,0
FUGLSANG Jakob,0,0
GEE Derek,0,0
NEILANDS Krists,0,0
HOULE Hugo,0,0
MARTIN Guillaume,0,0
ALLEGAERT Piet,0,0
COQUARD Bryan,0,0
STEWART Jake,0,0
GESCHKE Simon,0,0
HERRADA Jesús,0,0
RENARD Alexis,0,0
IZAGIRRE Ion,0,0
ZINGLE Axel,0,0
CARAPAZ Richard,0,0
GRÉGOIRE Romain,0,0
HINDLEY Jai,0,0
GAVIRIA Fernando,0,0
FORMOLO Davide,0,0
MAS Enric,0,0
LAZKANO Oier,0,0
VAUQUELIN Kévin,0,0
CAPIOT Amaury,0,0
OLIVEIRA Nelson,0,0
MÜHLBERGER Gregor,0,0
GARCÍA PIERNA Raúl,0,0
MCLAY Daniel,0,0
MOZZATO Luca,0,0
RODRÍGUEZ Cristián,0,0
MEINTJES Louis,0,0
GIRMAY Biniam,0,0
CHAMPOUSSIN Clément,0,0
ROMO Javier,0,0
PAGE Hugo,0,0
GOOSSENS Kobe,0,0
THIJSSEN Gerben,0,0
REX Laurenz,0,0
ZIMMERMANN Georg,0,0
BARGUIL Warren,0,0
DEGENKOLB John,0,0
TEUNISSEN Mike,0,0
EEKHOFF Nils,0,0
JAKOBSEN Fabio,0,0
ONLEY Oscar,0,0
WELTEN Bram,0,0
CAVENDISH Mark,0,0
BALLERINI Davide,0,0
BOL Cees,0,0
DÉMARE Arnaud,0,0
FEDOROV Yevgeniy,0,0
GAZZOLI Michele,0,0
MØRKØV Michael,0,0
LUTSENKO Alexey,0,0
TEJADA Harold,0,0
CORT Magnus,0,0
EIKING Odd Christian,0,0
JOHANNESSEN Tobias Halland,0,0
KRISTOFF Alexander,0,0
KULSET Johannes,0,0
TILLER Rasmus,0,0
WÆRENSKJOLD Søren,0,0
CRAS Steff,0,0
BURGAUDEAU Mathieu,0,0
DUJARDIN Sandy,0,0
GACHIGNARD Thomas,0,0
GRELLIER Fabien,0,0
JEGAT Jordan,0,0
TURGIS Anthony,0,0
VERCHER Mattéo,0,0
Tadej Pogačar,0,0
Wout van Aert,0,0
Remco Evenepoel,0,0
Jonas Vingegaard,0,0
Mathieu van der Poel,0,0
Mads Pedersen,0,0
Primož Roglič,0,0
Marc Hirschi,0,0
Demi Vollering,0,0
Lotte Kopecky,0,0
Katarzyna Niewiadoma,0,0
Évita Muzic,0,0
